Paper Title,Venue,Year,Data,Users,Users lables,Tasks,Tasks Labels,"Visualization Levels (Disseminative visualization, Observational visualization, Analytical visualization, Model-developmental visualization)",Visual Representations,Visual analytics techniques (approach),DOI Link,Keyword Search On,Notes,link in Dropbox,Search
Leveraging data science to combat COVID-19: A comprehensive review,,2020,A review paper - used many publicly available datasets,survey,,"the paper surveys public datasets and repositories, conducts bibliometric analysis on COVID-19 research papers, and highlights common challenges and pitfalls observed in the surveyed works.",Analyze,Disseminative Visualization,"line chart, map, ",,https://doi.org/10.1109/TAI.2020.3020521,,,https://www.dropbox.com/scl/fi/z9bq86yllkpvn6zcc0p1e/Leveraging_Data_Science_to_Combat_COVID-19_A_Comprehensive_Review.pdf?rlkey=b6ixu2z42mgprme6ex2sxq351&dl=0,1st round
Leveraging data visualization and a statewide health information exchange to support COVID-19 surveillance and response: Application of public health informatics,,2021,"information on individuals tested for and infected with COVID-19. These data are collated from various sources, including state and local public health agencies, as well as health systems.","authorized personnel working in public health agencies, as well as the general public","[Public], [Domain Subtype]: public health","They developed and implemented population-level dashboards that collate information on individuals tested for and infected with COVID-19, in partnership with state and local public health agencies as well as health systems.",Visualize,Observational Visualization,"dashboard includes bar chart, line chart and map",involves the rapid development and implementation of novel visualization applications for data amalgamated across sectors,https://doi.org/10.1093/jamia/ocab004,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/u5s4obpij52dbrhyx8s8w/Leveraging-data-visualization-and-a-statewide-health-information-exchange-to-support-COVID-19-surveillance-and-response-Application-of-public-health-informatics.pdf?rlkey=0226uhphl4hfv3plbfw1reinb&dl=0,2nd round
Leveraging Historical Medical Records as a Proxy via Multimodal Modeling and Visualization to Enrich Medical Diagnostic Learning,IEEE Transactions on Visualization and Computer Graphics,2023,A real-life clinical dataset for diagnosing cervical spine disorders.,interns and novice physicians,[Domain Subtype]: physicians,"exploring different modality data from historical medical records, receiving diagnostic interpretive hints based on the constructed model, and conducting comparative analyses of specific patients.",Analyze,Analytical Visualization,"the interface contains four distinct views: the User panel, the Embedding Transition View, the Modality Exploration View (i.e., indicators using collapsable table and strip charts like scatter, Beeswarm Plot, and bar, text represented by boxplot and blocks of medical text, images using treemap), and the Comparison View using collapsible table and collapsible charts like pi chart."," leveraging historical medical records for multimodal modeling and visualization to enhance medical training. The system likely employs techniques such as data fusion, pattern recognition, and interactive visualization to provide users with actionable insights and support their learning process. ",https://doi.org/10.1109/TVCG.2023.3326929,healthcare,,https://www.dropbox.com/scl/fi/8aajfoyiusbxkvcqokpqp/Leveraging_Historical_Medical_Records_as_a_Proxy_via_Multimodal_Modeling_and_Visualization_to_Enrich_Medical_Diagnostic_Learning.pdf?rlkey=x9x2umsa5csqb94s4a4f8ogex&dl=0,1st round
Local Response to the COVID-19 Pandemic: The Case of Indonesia,,2021,COVID-19 case and fatality numbers,"policymakers, public health officials, and researchers ","[Policymakers], [Domain Subtype]: public health officials, and researchers ","They are examining the relationship between COVID-19 case and fatality numbers and provincial governments in Indonesia
using correlations and data visualization.",Analyze/Visualize,Analytical Visualization,"correlation plots, scatter plots, color-coded map, bubble chart",using correlation analysis and data visualization techniques to analyze the relationship between COVID-19 outcomes and provincial government capacity,https://doi.org/10.3390/su13105620,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/gqmhrrqgjiikdxfkv42ww/Local-Response-to-the-COVID-19-Pandemic-The-Case-of-Indonesia.pdf?rlkey=d4cv9rwck0lwbtd88vsrzc1q8&dl=0,2nd round
Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic,,2020,,,,,,,,,https://doi.org/10.7326/M20-1260,Epidemiological modeling + visualization,couldn't access,,2nd round
Long COVID: a review and proposed visualization of the complexity of long COVID,,2023,Unsure (?),no UI,,to develop a visual framework or description of Long COVID that captures its complexity and pathogenesis,Visualize,Model-developmental Visualization,network map,synthesizing existing research and evidence on Long COVID to develop a comprehensive visual framework,https://doi.org/10.3389/fimmu.2023.1117464,,,https://www.dropbox.com/scl/fi/2le2ripsdtcb5zbx0271q/Long-COVID-a-review-and-proposed-visualization-of-the-complexity-of-long-COVID.pdf?rlkey=29xomcuaid5uyjog09rihklmo&dl=0,1st round
Mapping the landscape and structure of global research on nutrition and COVID-19: visualization analysis,,2022,Scopus database,not relevant; bibliometrics are visualized,,,,,"network visualization map,",,https://doi.org/10.1186/s41043-022-00304-y,,bibliometric analysis,https://www.dropbox.com/scl/fi/x9iiso45e7d6w2t9n6wjb/Mapping-the-landscape-and-structure-of-global.pdf?rlkey=kvp2czxvnz0ostf1l1pgp3464&dl=0,1st round
Mapping the Landscape of COVID-19 Crisis Visualizations,,2021,The data analyzed in this paper consist of 668 COVID-19 visualizations created to communicate information to the public,"researchers, policymakers, public health officials","[Policymakers], [Domain Subtype]: public health officials, and researchers ","They analyzed 668 COVID-19 visualizations, and they presented their fndings through a conceptual framework.
They provided a set of factors to be considered within each component of the framework. ",Analyze,Model-developmental Visualization,"network visualization map,","examines key components of COVID-19 crisis visualizations: who uses the visualizations, what data is used, what messages are conveyed, in what form, and under what circumstances",https://doi.org/10.1145/3411764.3445381,Pandemic + visualization,,https://www.dropbox.com/scl/fi/fzkoiicbhlp8bcrown5l1/Mapping-the-Landscape-of-COVID-19-Crisis-Visualizations.pdf?rlkey=mfyosycsnx9vvzmx8arv9icun&dl=0,2nd round
Mapping the situation of research on coronavirus disease-19 (COVID-19): a preliminary bibliometric analysis during the early stage of the outbreak,,2020,Scopus database,not relevant; bibliometrics are visualized,,,,,"network visualization map with clusters, ",,https://doi.org/10.1186/s12879-020-05293-z,,bibliometric analysis,https://www.dropbox.com/scl/fi/e488j20craw0zaaqjy2r4/Mapping-the-situation-of-research-on-coronavirus-disease-19-COVID-19.pdf?rlkey=3bjctcgqww08e2ulmuufnzjib&dl=0,1st round
Measuring Effects of Spatial Visualization and Domain on Visualization Task Performance: A Comparative Study,IEEE Transactions on Visualization and Computer Graphics,2022,Coronavirus pandemic (covid-19) - our world in data. https://ourworldindata.org/coronavirus,public; quantitative study 90 participants,[Public],to assess the impact of domain and spatial visualization ability on performance in information visualization tasks,Analyze,Observational Visualization,"spatial visualization such as a bar chart rotated along Cartesian and radial axes: Vertical, Horizontal, Radial, and Circular Bar Plot", Accuracy and response times are measured and analyzed to determine the impact of domain and spatial visualization ability on performance. The study also considers motivational differences between domains and their potential contribution to increased accuracy,https://doi.org/10.1109/TVCG.2022.3209491,pandemic,,https://www.dropbox.com/scl/fi/xs0lw8ch17m4slonu4y4c/Measuring_Effects_of_Spatial_Visualization_and_Domain_on_Visualization_Task_Performance_A_Comparative_Study.pdf?rlkey=yygdv5bbwxeterin2srqnldgy&dl=0,1st round
Misinformed by Visualization: What Do We Learn From Misinformative Visualizations?,Computer Graphics Forum,2022,"collected 129,125 visualization images from the Internet through keyword searches from three major search engines and four social media platforms.",public; survey / evaluation of public vis,[Public],to identify and classify the types of issues and misleading elements present in real-world visualizations that have been reported as misleading,Analyze,Analytical Visualization,This work presents four directions that the research community can follow to widen the discussion on misleading visualizations,"The study lays the groundwork for future research in understanding, detecting, and preventing misleading visualizations",https://doi.org/10.1111/cgf.14559,pandemic,,https://www.dropbox.com/scl/fi/jhy54qglf5d5z0x91pqt8/Misinformed-by-Visualization-What-Do-We-Learn-From.pdf?rlkey=qh2xk6ohniqmg72eoq3as5xtx&dl=0,1st round
Mixed Multi-Model Semantic Interaction for Graph-based Narrative Visualizations,IUI,2023,,,,,,,,,https://doi.org/10.1145/3581641.3584076,Pandemic + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/7kaahz3zjgqqor9pcdveq/Mixed-Multi-Model-Semantic-Interaction-for-Graph-based-Narrative-Visualizations.pdf?rlkey=94gjz7n1f9rqeberbfgop1e3n&dl=0,2nd round
Mobile edge computing based QoS optimization in medical healthcare applications,,2019,,,,,,,,,https://doi.org/10.1016/j.ijinfomgt.2018.08.004,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/66m3qy9r93k2jh58bd3ei/Mobile-edge-computing-based-QoS-optimization-in-medical-healthcare-applications.pdf?rlkey=auvdtdmo2ohvgdhzqmrz4jamu&dl=0,2nd round
Modeling and analysis of COVID-19 epidemics with treatment in fractional derivatives using real data from Pakistan,,2020,"COVID-19 epidemiological data, including confirmed infections, reported deaths, and recovered cases",researchers and policymakers in the field of epidemiology and public health,"[Policymakers], [Domain Subtype]: public health officials, and researchers ",They proposed and analyzed a fractional-order epidemic model with two different operators called the classical Caputo operator and the Atangana–Baleanu–Caputo operator for the transmission of COVID-19 epidemic.,Model,Model-developmental Visualization,time series line chart,"The reproduction number is obtained, and the dynamic behavior of the equilibria is studied using stability criteria and principles. Parameters are fitted using least squares curve fitting techniques, and numerical solutions of the model are obtained using numerical methods. Numerical simulations are performed to visualize the effectiveness of the theoretical results and the impact of arbitrary-order derivatives.",https://doi.org/10.1140/epjp/s13360-020-00819-5,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/9u6sn9os0q96x5t2jkyr3/Modeling-and-analysis-of-COVID-19-epidemics-with-treatment-in-fractional-derivatives-using-real-data-from-Pakistan.pdf?rlkey=1a2n722k8glm5txzukqncksjy&dl=0,2nd round
Modeling and tracking Covid-19 cases using Big Data analytics on HPCC system platform,,2021,"epidemiological data on COVID-19 cases, spread, severity, and mortality rates",general public,[Public],"- They described the development a model of Corona spread by using innovative big data analytics techniques and tools
- They proposed HPCC Systems Covid-19 tracker which presents the Covid-19 data on a daily, weekly, and cumulative basis up to global-level and down to the county-level.",Visualize,Model-developmental Visualization,"network visualization, line chart, color-coded map, bar chart","leveraging big data analytics techniques, including modeling based on previous research on Ebola spread, to develop a model for predicting the spread of COVID-19. The project also utilizes classical epidemiological models such as SIR (Susceptible-Infectious-Recovered) model and causal modeling for tracking and analyzing COVID-19 spread. The HPCC Systems platform is used for data processing, ingestion, and delivery, enabling the development of the COVID-19 tracker system",https://doi.org/10.1186/s40537-021-00423-z,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/5wube355hr33bhsq95kkd/Modeling-and-tracking-Covid-19-cases-using-Big-Data-analytics-on-HPCC-system-platform.pdf?rlkey=fpzoklgb1u27jdklvk7e6gfbe&dl=0,2nd round
Modeling the Spatiotemporal Epidemic Spreading of COVID-19 and the Impact of Mobility and Social Distancing Interventions,,2020,"Epidemiological data on COVID-19 cases, transmission rates, demographic information, and mobility patterns",,,"They developed an age-stratified mobility-based metapopulation model that encapsulates the main particularities of the spreading of COVID-19 regarding (i) its transmission among individuals, (ii) the specificities of certain demographic
groups with respect to the impact of COVID-19, and (iii) the human mobility patterns inside and among regions.",Model,Model-developmental Visualization,"line chart, area chart, scatter plot, "," The model is formulated using a microscopic Markov chain approach, which allows for the incorporation of transmission dynamics and containment measures. Analytical expressions are derived to quantify the effective reproduction number (R) and its relationship with nonpharmacological interventions.",https://doi.org/10.1103/PhysRevX.10.041055,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/pg0t0x02d3q2wrwwlm7hx/Modeling-the-Spatiotemporal-Epidemic-Spreading-of-COVID-19-and-the-Impact-of-Mobility-and-Social-Distancing-Interventions.pdf?rlkey=q1xav1zqgj0vdykj9flyd7jox&dl=0,2nd round
Multiple Forecast Visualizations (MFVs): Trade-offs in Trust and Performance in Multiple COVID-19 Forecast Visualizations,IEEE TVCG,2023,The Reich Lab’s COVID-19 Forecast Hub is a central repository of COVID-19 forecasts and predictions from over 50 international research groups and provides a visualization tool to display the forecasts.,public; quantititative study on trust in vis covid-19 predictions; 1299 participants,[Public],"This work examines the effects of three visualization design choices for multiple forcast visualizations on trust (number of forecasts (1-15), color, and best/worstcase forecasts).They are using multiple line charts",Visualize,Analytical Visualization,line chart,employ statistical analysis to evaluate participants' responses and behaviors in relation to the different visualization conditions. Qualitative analysis of participants' strategies is also performed to gain deeper insights into their decision-making processes,https://doi.org/10.1109/TVCG.2022.3209457,Pandemic + visualization,,https://www.dropbox.com/scl/fi/8qj81azf9in4upw8bcbdw/Multiple_Forecast_Visualizations_MFVs_Trade-offs_in_Trust_and_Performance_in_Multiple_COVID-19_Forecast_Visualizations.pdf?rlkey=gaa8h40dsicbvl27opf2eknxb&dl=0,1st & 2nd round
Multivariate visualization of the global COVID-19 pandemic: A comparison of 161 countries,,2021,Data from the Global COVID-19 Index (GCI) provided by PEMANDU Associates,"unsure; vis just created for the paper i.e., for the reader?",[Public],"They visualized the global spread of the COVID-19 pandemic over the first 90 days, through the principal component analysis approach of dimensionality reduction.",Visualize,Analytical Visualization,"scattered plot, ","conducting principal component analysis (PCA) on the data to reduce dimensionality and visualize the spread of COVID-19 globally. Correlation matrices are computed to examine associations between variables, and multivariate visualization techniques are used to compare the situation in 161 countries over time. ",https://doi.org/10.1371/journal.pone.0252273,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/65tdx8ubt4blmt0jrsrc9/Multivariate-visualization-of-the-global-COVID-19-pandemic-A-comparison-of-161-countries.pdf?rlkey=ofn1f7cpa8xauv2schzbpz30v&dl=0,1st & 2nd round
Next slide please: The politics of visualization during COVID-19 press briefings,,2023,All 79 sets of slides used during the UK government’s press briefings that were held between 30 March and 24 June 2020.,meta survey of visualizations by government entities -> public,[Public],examine how governments visually communicate policies and what this reveals about their political objectives. ,Understand,Observational Visualization,"changepoints in line chart, timeline, barchart","The approach combines quantitative changepoint analysis, content analysis, and qualitative discourse analysis to examine the visual communication strategies employed by the UK government during the COVID-19 pandemic.",https://doi.org/10.1080/13501763.2022.2160784,,,https://www.dropbox.com/scl/fi/7ptfj0eux17te4td1hgjg/Next-slide-please-the-politics-of-visualization-during-COVID-19-press-briefings.pdf?rlkey=gmyjecd261l7oxbbub7vjumna&dl=0,1st round
"Novel Approach to Support Rapid Data Collection, Management, and Visualization During the COVID-19 Outbreak Response in the World Health Organization African Region: Development of a Data Summarization and Visualization Tool",,2020,"The review was conducted through an online literature search for technical guidance documents and published data in PubMed/MEDLINE (Medical Literature Analysis and Retrieval System Online), and Google Scholar databases including the WHO library database; directly approaching WHO teams, by phone call, by emails, or in person, involved in designing and implementing these platforms in the WHO African Region; and informal focus group discussions with WHO operational staff.",WHO response teams and decision makers; government(?),[Policymakers],"review the processes involved in researching, developing, and implementing the DSV tool to bridge the gap in data collection during the COVID-19 pandemic in the WHO African Region",Understand,Disseminative Visualization,"bar chart, line chart, coloring map, dashboard, timeline",,https://doi.org/10.2196/20355,,,https://www.dropbox.com/scl/fi/0ur3xuukjgsbvrlzfyr3q/Novel-Approach-to-Support-Rapid-Data-Collection-Management-and-Visualization-During-the-COVID-19-Outbreak-Response-in-the-World-Health-Organization-African-Region.pdf?rlkey=meg30wr50yo8618nfy8y3evrj&dl=0,1st round
Nuclear medicine in SARS-CoV-2 pandemia: 18F-FDG-PET/CT to visualize COVID-19,,2020,Unsure (?),not relevant; MRI images only,,,,,This work reviews the first 18F-FDG-PET/CT scans of COVID-19 to discuss how Nuclear Medicine could contribute to management of this disease,,https://doi.org/10.1055/a-1152-2341,,not relevant,https://www.dropbox.com/scl/fi/3uix5upjd9agksbdd5agm/Nuclear-medicine-in-SARS-CoV-2-pandemia.pdf?rlkey=npdza0hcztkbjxdyz4botuhru&dl=0,1st round
Olfactory and gustatory dysfunction in COVID-19: a global bibliometric and visualized analysis,,2023,Scopus database,not relevant; bibliometrics are visualized,,,,,"network visualization map, clusters, ",,https://doi.org/10.1177/00034894221082735,,bibliometric analysis,https://www.dropbox.com/scl/fi/68zs24w31qb1p4nrsquh2/zyoud-et-al-2022-olfactory-and-gustatory-dysfunction-in-covid-19-a-global-bibliometric-and-visualized-analysis.pdf?rlkey=yy7x4f3edyn19gxztvha4qxqz&dl=0,1st round
OpenABM-Covid19—An agent-based model for non-pharmaceutical interventions against COVID-19 including contact tracing,,2021,"data related to the spread of SARS-CoV-2, including mortality rates, social and economic activity restrictions, and demographic information",,,They presented OpenABM-Covid19: an agent-based simulation of the epidemic including detailed age-stratification and realistic social networks.,Model,Model-developmental Visualization,"simulation that includes interactive network, bar chart, heatmap, line chart, scatter plot, ","developing and presenting OpenABM-Covid19 as an agent-based simulation model for evaluating interventions and strategies to suppress the COVID-19 epidemic. The model is designed to be open-source, with Python and R interfaces, allowing for easy adaptation and use by scientists and policymakers",https://doi.org/10.1371/journal.pcbi.1009146,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/7ovojihtagfqui5sc5hrb/OpenABM-Covid19-An-agent-based-model-for-non-pharmaceutical-interventions-against-COVID-19-including-contact-tracing.pdf?rlkey=dj1r6t0h8jo2ko33rkcuoujr0&dl=0,2nd round
PandemCap Decision support tool for epidemic management,,2017, data related to pandemics or high-impact epidemics,public health decision-makers,"[Policymakers], [Domain Subtype]: public health officials","They presented PandemCap, an innovative decision support tool that can be used by the public health officials for making better and well informed decisions in the event of pandemics or high impact epidemics.",Model,Disseminative Visualization,"interactive tool that includes multiple views with line chart, color-coded map, and different parameters ","leveraging visual analytics and epidemic modeling techniques to develop PandemCap. The tool provides interactive features and flexible functionalities to allow public health decision-makers to explore data, study the impact of various interventions or control measures, and make informed decisions during pandemics or high-impact epidemics.",https://doi.org/10.1109/VAHC.2017.8387497,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/oym2umjzz4842qzgn0yug/PandemCap_Decision_support_tool_for_epidemic_management.pdf?rlkey=8u1d1ab6qklmrmyvnc68hf3cb&dl=0,2nd round
PCP-Ed: Parallel Coordinates Plots for Ensemble Data,,2022,Unsure (?) - Covid-19 simulation data - ensemble,epidemiologists,[Domain Subtype]: epidemiologists,"The study introduces several visual enhancements to PCPs, including correlation glyphs, interactive glyph lenses, subtraction operators, and relationship-guided dimensionality reduction techniques",Visualize,Analytical Visualization,Parallel coordinate plots and glyphs,"correlation glyphs to visualize the strength of correlations between data dimensions, interactive glyph lenses to investigate dense areas of edge intersections, subtraction operators to identify differences between similar datasets, and relationship-guided dimensionality reduction to collapse axis pairs and simplify the visualization",https://doi.org/10.1016/j.visinf.2022.10.003,,,https://www.dropbox.com/scl/fi/3lu1g5lls5mx4f5zg4luu/PCP-Ed-Parallel-coordinate-plots-for-ensemble-data.pdf?rlkey=bpm8orv27yzugdeg1o5xh79ss&dl=0,1st round
PDViz: A Visual Analytics Approach for State Policy Data,CGF,2023,,,,,,,,,https://doi.org/10.1111/cgf.14732,Epidemiological modeling + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/nlwtvleq37d00olijae39/Computer-Graphics-Forum-2023-Han-PDViz-A-Visual-Analytics-Approach-for-State-Policy-Data.pdf?rlkey=9i0gcd8r8j0lklwae8q8k0bnk&dl=0,2nd round
PhysioEx: Visual Analysis of Physiological Event Streams,CGF,2016,"streaming data, particularly focusing on physiologic data streams in the field of neonatal medicine",clinical researchers and domain experts in neonatal medicine,"[Policymakers], [Domain Subtype]: clinical researchers and domain experts in neonatal medicine","- They  introduced a novel visualization technique, the Temporal Intensity Map, which visually integrates data values over time to reveal the frequency, duration, and timing of significant features in streaming data.
- They combined the Temporal Intensity Map with several coordinated visualizations of detected events in data streams to create PhysioEx, a visual dashboard for multiple heterogeneous data streams.",Visualize,Analytical Visualization,"visual dashboard for multiple heterogeneous data streams like Temporal Intensity Map with several coordinated visualizations like sequence, linear, and stream graph. ",developing the Temporal Intensity Map and integrating it into the PhysioEx dashboard along with other coordinated visualizations. The evaluation of the method includes consultations with domain experts in neonatal medicine to assess its effectiveness. ,http://dx.doi.org/10.1111/cgf.12909,Healthcare + visualization,,https://www.dropbox.com/scl/fi/ih509p6gq7pdsd9898lal/Computer-Graphics-Forum-2016-Kamaleswaran-PhysioEx-Visual-Analysis-of-Physiological-Event-Streams.pdf?rlkey=6m4s7i0f53bnry6j41hccptfe&dl=0,2nd round
"Population density, activity centres, and pandemic: Visualizing clusters of COVID-19 cases in Hong Kong",,2021,"information on the associated venues of COVID-19 cases across four surges in Hong Kong between January 2020 and February 2021, along with data on population density",,,"They made visuals to distinguish the relationships between population density, activity centres, and clusters of cases in Hong Kong.",Visualize,Analytical Visualization,map clusters,,https://doi.org/10.1177/0308518X211012700,Pandemic + visualization,,https://www.dropbox.com/scl/fi/w99w6udi4ldue5tguo6cj/zhou-et-al-2021-population-density-activity-centres-and-pandemic-visualizing-clusters-of-covid-19-cases-in-hong-kong.pdf?rlkey=n7thwqofzsjrrq1u88hcvfir7&dl=0,2nd round
Predicting aspect-based sentiment using deep learning and information visualization: The impact of COVID-19 on the airline industry,,2022,Tripadvisor.com and webcrawler,"researchers and professionals in information systems, management, and tourism research",[Domain Subtype]: researchers and professionals,conduct aspect-level sentiment analysis of flight reviews to gauge the impact of COVID-19 on passenger travel sentiment,Analyze,Observational Visualization,"line chart, box and whisker plot, pictograph, Word clouds","The study utilizes deep learning and word embedding techniques, such as bidirectional encoder representations from transformers (BERT), for aspect-level sentiment analysis.",https://doi.org/10.1016/j.im.2021.103587,,,https://www.dropbox.com/scl/fi/2uoeke4kmlzk9u12zwmpr/Predicting-aspect-based-sentiment-using-deep-learning-and-information.pdf?rlkey=kd6jnvr7sb6qzugt7a4ykbcdo&dl=0,1st round
Prediction and Spread Visualization of Covid-19 Pandemic Using Machine Learning,,2020," global data on the spread of COVID-19, including information on confirmed cases, recovered cases, and deaths, as well as geographical data for countries and continents",,,"- They conducted an investigation characterizing the effects of the pandemic over the world using Machine Learning (ML) method
- They proposed an additive regression model with interpretable parameters that can be naturally balanced by experts with domain intuition about the time series.",Analyze/Model,Analytical Visualization,"dynamic map visualization, line chart, bar chart *,","machine learning techniques, an additive regression model, to analyze and predict the spread of COVID-19 globally",https://doi.org/10.20944/preprints202005.0147.v1,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/0p3o1jrpiipsp835senlp/Prediction-and-Spread-Visualization-of-Covid-19-Pandemic-using-Machine-Learning.pdf?rlkey=xpmsxcxzegv3qhdkf1o73yath&dl=0,2nd round
Prediction of new active cases of coronavirus disease (COVID-19) pandemic using multiple linear regression model,,2020," daily statistics on COVID-19 cases, including total confirmed, active, deceased, and positive cases, collected from the World Health Organization (WHO) daily statistics.",,,They proposed an analysis of daily statistics of people affected by the disease are taken into account to predict the next days trend in the active cases in Odisha as well as India.,Analyze,Analytical Visualization,"bar and line chart, area chart","The study applies regression models, specifically Linear Regression and Multiple Linear Regression, to analyze the relationship between COVID-19 cases and predict future trends. ",https://doi.org/10.1016/j.dsx.2020.07.045,Pandemic + visualization,,https://www.dropbox.com/scl/fi/0nzw6qqwdfw06upnjsrzn/Prediction-of-new-active-cases-of-coronavirus-disease-COVID-19.pdf?rlkey=zhfwzkci94vhlo0v1l9de53ry&dl=0,2nd round
Privacy-Preserving Data Visualization: Reflections on the State of the Art and Research Opportunities,Computer Graphics Forum,2020,Unsure (?) - Survey paper,,,analyze the challenges and approaches related to preserving data privacy in the context of visualization,Analyze,Model-developmental Visualization,"this work provides a systematic analysis of the approaches, methods, and techniques used for handling data privacy in visualization like privacy-preserving data visualization pipeline",,https://doi.org/10.1111/cgf.14032,healthcare,,https://www.dropbox.com/scl/fi/2ed9bzreeggju7jsx8fjy/Computer-Graphics-Forum-2020-Bhattacharjee-Privacy-Preserving-Data-Visualization-Reflections-on-the-State-of-the-Art.pdf?rlkey=333w53qri7bgzp2618lbhq9oe&dl=0,1st round
Propagating Visual Designs to Numerous Plots and Dashboards,IEEE TVCG,2021,No details specific details about the data used except using data from the SCRC infrastructure and they are accessible via a RESTful API,epidemiologists and modeling scientists,[Domain Subtype]: epidemiologists and modeling scientists,"They are binding a visualization function to numerous data streams to deploy new interactive visualizations, such as plots or dashboards then the propagated visualizations are immediately published as interactive web pages for domain experts",Visualize,Disseminative Visualization,plots or dashboards then published as interactive web pages for domain experts,"utilizing an ontology to organize datasets, visual designs, and deployable plots and dashboards within a unified management framework",https://doi.org/10.1109/TVCG.2021.3114828,Pandemic + visualization,,https://www.dropbox.com/scl/fi/usfshzi25yzd4iwia40lf/Propagating_Visual_Designs_to_Numerous_Plots_and_Dashboards.pdf?rlkey=8eiv4736gz1pz1q8bk1pl3r90&dl=0,1st & 2nd round
Public Behavior Response Analysis in Disaster Events Utilizing Visual Analytics of Microblog Data,,2014,,,,,,,,,DOI: 10.1016/j.cag.2013.10.008,Emergency responses + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/qxy9xpz2r7k972deqphqc/Public-Behavior-Response-Analysis-in-Disaster-Events-Utilizing-Visual-Analytics-of-Microblog-Data.pdf?rlkey=630e13tne4fvwjdnu0tqdrg52&dl=0,2nd round
Public health nurse perceptions of Omaha System data visualization,,2015,,,,,,,,,https://doi.org/10.1016/j.ijmedinf.2015.06.010,Healthcare + visualization,couldn't access,,2nd round
QualDash: Adaptable Generation of Visualisation Dashboards for Healthcare Quality Improvement,IEEE TVCG,2021,National Clinical Audit (NCA) data for healthcare Quality Improvment. NCAs provide national records of data about patient treatments and outcomes in different clinical areas - two audits: the Paediatric Intensive Care Audit Network (PICANet) audit [37] and the Myocardial Ischaemia National Audit Project (MINAP) audit.,healthcare professionals,[Domain Subtype]: healthcare professionals,"They present QualDash, a web-enabled dashboard generation engine that allows for the dynamic configuration and deployment of visualisation dashboards for healthcare quality improvement (QI). ",Visualize,Disseminative Visualization,"The dashboard contains quantitative (e.g. bar chart, line chart, funnel plots, pi chart), temporal and subsidiary views which are customisable via a popover. ","The approach involves a rigorous task analysis based on interviews, co-design workshops, and one-on-one meetings with healthcare professionals to understand their needs and workflows",https://doi.org/10.1109/TVCG.2020.3030424,Healthcare + visualization,,https://www.dropbox.com/scl/fi/aawt392ntjdyi24y63e82/QualDash_Adaptable_Generation_of_Visualisation_Dashboards_for_Healthcare_Quality_Improvement.pdf?rlkey=ergcx3u1yago08v51zpl0rnec&dl=0,1st & 2nd round
RAMPVIS: answering the challenges of building visualisation capabilities for large-scale emergency responses,,2022,(?),,,,,,"web pages (dashboards, maps and plots), storytelling",,https://doi.org/10.1016/j.epidem.2022.100569,,,https://www.dropbox.com/scl/fi/9d5saolcojllcfvq2kwym/RAMPVIS-Answering-the-challenges-of-building-visualisation-capabilities-for.pdf?rlkey=twopx8756ub7bzoegvm7zpjnt&dl=0,1st round
Rapid development of a data visualization service in an emergency response,IEEE Transactions on Visualization and Computer Graphics,2022,Covid-19 time-series data hosted at the SCRC infrastructure , epidemiological modelers and researchers ,[Domain Subtype]: epidemiologists and modeling scientists,the visualization of COVID-19 data to facilitate epidemiological modeling workflows,Visualize,Analytical Visualization,"plots, dashboards",leveraging existing knowledge and components of services computing. This includes configuring services composition and adopting suitable approaches to services engineering to meet the demanding requirements and practical challenges of supporting epidemiological modeling workflows during a pandemic,https://doi.org/10.1109/TSC.2022.3164146,,,https://www.dropbox.com/scl/fi/sesgcrhi8aalmpx1vn7cp/Rapid_Development_of_a_Data_Visualization_Service_in_an_Emergency_Response.pdf?rlkey=uz51e9xdc5b50hec5iwdlscma&dl=0,1st round
Real-time visualization of intermolecular interactions between SARS-CoV-2 spike protein and NTD-binding antibody using high-speed atomic force microscopy,,2024,,,,,,,,,https://doi.org/10.1016/j.bpj.2023.11.1256,Pandemic + visualization,couldn't access,,2nd round
RETAIN: An Interpretable Predictive Model for Healthcare using Reverse Time Attention Mechanism,,2016,,,,,,,,,,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/kg6sziv0yppsed8nkuvoi/NIPS-2016-retain-an-interpretable-predictive-model-for-healthcare-using-reverse-time-attention-mechanism-Paper.pdf?rlkey=h86tso9fwa2r8w5x4ashw6yh4&dl=0,2nd round
